,birthyear,author,title,pub_year
1055,1875.0,Rafael Sabatini,The Tavern Knight,1904.0
1056,1840.0,Thomas Hardy,Desperate Remedies,1871.0
1057,1858.0,Will N. Harben,The Land of the Changing Sun,
1058,1840.0,Thomas Hardy,"Life's Little Ironies
A set of tales with some colloquial sketches entitled A Few Crusted Characters",
1059,1823.0,Charlotte Mary Yonge,The Little Duke: Richard the Fearless,
1060,1840.0,Thomas Hardy,A Group of Noble Dames,1891.0
1061,1837.0,William Dean Howells,An Open-Eyed Conspiracy; An Idyl of Saratoga,
1062,1840.0,Thomas Hardy,Wessex Tales,1888.0
1063,1840.0,Thomas Hardy,"A Changed Man, and Other Tales",
1064,1814.0,Charles Reade,Hard Cash,
1065,1859.0,Arthur Conan Doyle,The Hound of the Baskervilles,1902.0
1066,1873.0,Walter De la Mare,The Return,
1067,1828.0,Jules Verne,Eight Hundred Leagues on the Amazon,1881.0
1068,1856.0,H. Rider Haggard,Red Eve,1911.0
1069,1856.0,H. Rider Haggard,Beatrice,1890.0
1070,1856.0,H. Rider Haggard,The Wanderer's Necklace,1914.0
1071,1829.0,Charles Dudley Warner,Their Pilgrimage,
1072,1829.0,Charles Dudley Warner,A Little Journey in the World,
1073,1829.0,Charles Dudley Warner,The Golden House,
1074,1829.0,Charles Dudley Warner,That Fortune,
1075,1870.0,Joseph Crosby Lincoln,The Rise of Roscoe Paine,
1076,1823.0,Charlotte Mary Yonge,The Dove in the Eagle's Nest,
1077,1843.0,Henry James,The Author of Beltraffio,1884.0
1078,1856.0,Kate Douglas Wiggin,A Summer in a Canyon: A California Story,
1079,1856.0,Kate Douglas Wiggin,Marm Lisa,1896.0
1080,1856.0,H. Rider Haggard,The Virgin of the Sun,1922.0
1081,1737.0,Rudolf Erich Raspe,The Surprising Adventures of Baron Munchausen,
1082,1856.0,H. Rider Haggard,She,
1083,,Margaret Pedler,The Hermit of Far End,
1084,1862.0,John Kendrick Bangs,The Enchanted Typewriter,
1085,1815.0,Anthony Trollope,Doctor Thorne,1858.0
1086,1862.0,John Kendrick Bangs,The Pursuit of the House-Boat,
1087,1835.0,Mark Twain,A Dog's Tale,
1088,1829.0,Mark Twain,The Gilded Age: A Tale of Today,1873.0
1089,1835.0,Mark Twain,The American Claimant,1892.0
1090,1835.0,Mark Twain,A Double Barrelled Detective Story,
1091,1835.0,Mark Twain,Some Rambling Notes of an Idle Excursion,
1092,1835.0,Mark Twain,The Facts Concerning the Recent Carnival of Crime in Connecticut,
1093,1835.0,Mark Twain,"Alonzo Fitz, and Other Stories",
1094,1835.0,Mark Twain,Those Extraordinary Twins,
1095,1835.0,Mark Twain,"The Mysterious Stranger, and Other Stories",
1096,1835.0,Mark Twain,Sketches New and Old,1875.0
1097,1835.0,Mark Twain,1601: Conversation as it was by the Social Fireside in the Time of the Tudors,
1098,1835.0,Mark Twain,Goldsmith's Friend Abroad Again,
1099,1863.0,Katharine Pyle,The Counterpane Fairy,
1100,1871.0,Harold MacGrath,The Puppet Crown,
1101,1870.0,Joseph Crosby Lincoln,Cap'n Eri,
1102,1860.0,Ralph Connor,Corporal Cameron of the North West Mounted Police: A Tale of the Macleod Trail,
1103,1860.0,Ralph Connor,The Doctor : A Tale of the Rockies,
1104,1860.0,Ralph Connor,Glengarry School Days: A Story of Early Days in Glengarry,
1105,1860.0,Ralph Connor,To Him That Hath: A Tale of the West of Today,
1106,1860.0,Ralph Connor,Black Rock: A Tale of the Selkirks,
1107,1860.0,Ralph Connor,The Patrol of the Sun Dance Trail,
1108,1860.0,Ralph Connor,The Sky Pilot: A Tale of the Foothills,
1109,1860.0,Ralph Connor,The Major,
1110,1835.0,Mark Twain,"The Man That Corrupted Hadleyburg, and Other Stories",
1111,1840.0,Thomas Hardy,A Laodicean : A Story of To-day,
1112,1823.0,Charlotte Mary Yonge,Countess Kate,
1113,1870.0,Joseph Crosby Lincoln,The Portygee,
1114,1880.0,Robert J. C. Stead,Dennison Grant: A Novel of To-day,
1115,1872.0,Harold Bell Wright,The Re-Creation of Brian Kent,
1116,1868.0,Eleanor H. Porter,Miss Billy,1911.0
1117,1764.0,Ann Ward Radcliffe,The Mysteries of Udolpho,
1118,1831.0,William Hale White,"The Autobiography of Mark Rutherford, Edited by his friend Reuben Shapcott",
1119,1870.0,Joseph Crosby Lincoln,Cap'n Warren's Wards,
1120,1870.0,Joseph Crosby Lincoln,Cy Whittaker's Place,
1121,1860.0,Ralph Connor,The Man from Glengarry: A Tale of the Ottawa,
1122,1860.0,Ralph Connor,The Sky Pilot in No Man's Land,
1123,1859.0,Arthur Conan Doyle,The Valley of Fear,1915.0
1124,1823.0,Charlotte Mary Yonge,The Clever Woman of the Family,
1125,1875.0,Rafael Sabatini,The Sea-Hawk,
1126,1889.0,Vivia Hemphill,Down the Mother Lode,
1127,1875.0,Leroy Scott,Children of the Whirlwind,
1128,1876.0,Ottilie A. Liljencrantz,The Ward of King Canute: A Romance of the Danish Conquest,
1129,1862.0,John Kendrick Bangs,A Rebellious Heroine,
1130,1840.0,Thomas Hardy,The Well-Beloved: A Sketch of a Temperament,
1131,1837.0,William Dean Howells,The Kentons,
1132,1837.0,William Dean Howells,Fennel and Rue,
1133,1837.0,William Dean Howells,Dr. Breen's Practice,
